"","sampleID","plat","filename"
"1","SRR1555296","MiSeq","../../bioinf/genome_purity/SRR1555296/SRR1555296-sam-report.tsv"
"2","SRR1555297","MiSeq","../../bioinf/genome_purity/SRR1555297/SRR1555297-sam-report.tsv"
"3","SRR1555298","MiSeq","../../bioinf/genome_purity/SRR1555298/SRR1555298-sam-report.tsv"
"4","SRR1555299","MiSeq","../../bioinf/genome_purity/SRR1555299/SRR1555299-sam-report.tsv"
"5","SRR1555300","MiSeq","../../bioinf/genome_purity/SRR1555300/SRR1555300-sam-report.tsv"
"6","SRR1555301","MiSeq","../../bioinf/genome_purity/SRR1555301/SRR1555301-sam-report.tsv"
"7","SRR1555302","MiSeq","../../bioinf/genome_purity/SRR1555302/SRR1555302-sam-report.tsv"
"8","SRR1555303","MiSeq","../../bioinf/genome_purity/SRR1555303/SRR1555303-sam-report.tsv"
"9","SRR1555304","MiSeq","../../bioinf/genome_purity/SRR1555304/SRR1555304-sam-report.tsv"
"10","SRR1555305","MiSeq","../../bioinf/genome_purity/SRR1555305/SRR1555305-sam-report.tsv"
"11","SRR1555306","MiSeq","../../bioinf/genome_purity/SRR1555306/SRR1555306-sam-report.tsv"
"12","SRR1555307","MiSeq","../../bioinf/genome_purity/SRR1555307/SRR1555307-sam-report.tsv"
"13","SRR1555308","MiSeq","../../bioinf/genome_purity/SRR1555308/SRR1555308-sam-report.tsv"
"14","SRR1555309","MiSeq","../../bioinf/genome_purity/SRR1555309/SRR1555309-sam-report.tsv"
"15","SRR1555310","MiSeq","../../bioinf/genome_purity/SRR1555310/SRR1555310-sam-report.tsv"
"16","SRR1393710","PGM","../../bioinf/genome_purity/SRR1393710/SRR1393710-sam-report.tsv"
"17","SRR1393711","PGM","../../bioinf/genome_purity/SRR1393711/SRR1393711-sam-report.tsv"
"18","SRR1393713","PGM","../../bioinf/genome_purity/SRR1393713/SRR1393713-sam-report.tsv"
"19","SRR1393714","PGM","../../bioinf/genome_purity/SRR1393714/SRR1393714-sam-report.tsv"
"20","SRR1393716","PGM","../../bioinf/genome_purity/SRR1393716/SRR1393716-sam-report.tsv"
"21","SRR1393718","PGM","../../bioinf/genome_purity/SRR1393718/SRR1393718-sam-report.tsv"
"22","SRR1393719","PGM","../../bioinf/genome_purity/SRR1393719/SRR1393719-sam-report.tsv"
"23","SRR1393721","PGM","../../bioinf/genome_purity/SRR1393721/SRR1393721-sam-report.tsv"
